route,bird,flight,date,start_time,rel_lat,rel_lon,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_direction_10m,wind_gusts_10m,temperature_2m,precipitation,shortwave_radiation,surface_pressure
R2,C_D15,03,2011-05-16,12:29:37,51.86092,-1.24021,100,35,98,97,21.6,267,42.1,15.0,0.0,473.0,1015.2
R2,C_D15,04,2011-05-21,10:27:06,51.86099,-1.24027,99,98,0,0,19.1,216,38.2,14.5,0.0,467.0,1012.0
R2,C_D15,05,2011-05-31,13:07:03,51.86109,-1.24027,44,17,41,0,16.3,311,40.3,13.4,0.1,727.0,1012.6
R2,C_D15,06,2011-06-08,13:19:59,51.86099,-1.24023,73,67,21,0,20.9,221,49.3,15.0,0.1,571.0,996.1
R2,C_D88,01,2011-05-09,12:43:21,51.86115,-1.24033,52,27,35,2,20.6,184,46.8,16.0,0.2,552.0,1012.3
R2,C_D88,02,2011-05-13,12:22:36,51.86091,-1.24021,100,99,0,21,12.5,224,31.3,14.5,0.0,477.0,1011.8
R2,C_D88,03,2011-05-16,11:28:22,51.86107,-1.24031,100,77,83,100,22.7,271,45.0,14.3,0.0,474.0,1015.4
R2,C_D88,04,2011-05-21,09:12:07,51.8609,-1.24034,65,65,0,0,17.2,209,31.7,13.1,0.0,403.0,1012.6
R2,C_D88,05,2011-05-31,11:48:55,51.86101,-1.24039,24,14,19,0,17.8,312,40.7,11.9,0.0,643.0,1011.3
R2,C_D88,06,2011-06-08,13:46:35,51.86111,-1.24019,73,67,21,0,20.9,221,49.3,15.0,0.1,571.0,996.1
R2,C_D93,01,2011-05-09,12:53:06,51.86103,-1.24028,52,27,35,2,20.6,184,46.8,16.0,0.2,552.0,1012.3
R2,C_D93,02,2011-05-13,12:13:35,51.86088,-1.24023,100,99,0,21,12.5,224,31.3,14.5,0.0,477.0,1011.8
R2,C_D93,03,2011-05-16,11:49:54,51.86108,-1.2403,100,77,83,100,22.7,271,45.0,14.3,0.0,474.0,1015.4
R2,C_D93,04,2011-05-21,11:01:55,51.86106,-1.24024,92,90,0,5,15.9,213,38.2,14.9,0.0,302.0,1011.6
R2,C_D93,05,2011-05-31,13:31:52,51.86106,-1.24032,44,17,41,0,16.3,311,40.3,13.4,0.1,727.0,1012.6
R2,C_D93,06,2011-06-08,13:13:30,51.86101,-1.24022,73,67,21,0,20.9,221,49.3,15.0,0.1,571.0,996.1
R3,A_A35,01,2011-05-25,08:53:06,51.79207,-1.17166,81,0,28,76,9.3,167,20.2,9.6,0.0,278.0,1011.5
R3,A_A35,02,2011-05-31,10:01:59,51.79214,-1.17176,31,30,7,0,19.4,312,38.2,10.6,0.0,553.0,1004.7
R3,A_A35,03,2011-05-31,16:47:48,51.79206,-1.17177,13,5,9,0,15.0,297,33.1,14.8,0.0,713.0,1007.8
R3,A_A35,04,2011-06-02,11:45:23,51.79208,-1.17168,65,65,0,0,7.4,29,24.1,18.2,0.0,680.0,1019.9
R3,A_A35,05,2011-06-03,10:52:05,51.79212,-1.17169,23,20,0,3,19.2,50,36.7,16.8,0.0,583.0,1018.6
R3,A_A35,06,2011-06-08,09:12:38,51.79211,-1.17173,97,96,12,0,20.6,224,41.0,12.2,0.0,257.0,989.3
R3,A_A38,01,2011-05-25,09:58:35,51.79213,-1.17166,89,0,64,86,13.7,166,27.7,11.5,0.0,429.0,1010.9
